family,N_params_B,D_tokens_B,val_loss,is_converged,pred
Qwen3-235B-A22B,235.0,36000.0,1.8108,1,1.7885261735332187
K-EXAONE,236.0,11000.0,1.8366,1,1.8151031790037946
DeepSeek-V2.5,236.0,1263.6,1.9127,1,1.8932653870492413
DeepSeek-Coder-V2 236B,236.0,3191.0,1.8744,1,1.854036453502477
DeepSeek-V2 (MoE-236B),236.0,8100.0,1.8448,1,1.8235281517502524
Yuan 1.0,245.7,180.0,2.0335,1,2.016413946530108
Aramco Metabrain AI,250.0,7000.0,1.8478,1,1.8266126109854566
Llama Nemotron Ultra 253B,253.0,603.0,1.95,1,1.9312393937937058
ERNIE 3.0 Titan,260.0,668.0,1.9436,1,1.924739013144931
ST-MoE,269.0,1500.0,1.9024,1,1.8825499730840758
Gopher (280B),280.0,300.0,1.9926,1,1.9745697732763419
"Ling-Plus (""Bailing"")",290.0,9000.0,1.8381,1,1.8163866002958449
ERNIE-4.5-300B-A47B,300.0,1566.7,1.8986,1,1.8784267791099074
EXAONE 1.0,300.0,942.0,1.9227,1,1.9031356720259436
SB-LM,300.0,1800.0,1.8926,1,1.8722668267257052
MiMo-V2-Flash,309.0,1310.7,1.9062,1,1.886131404215672
Grok-1,314.0,6200.0,1.8474,1,1.8258020275884155
AMIE (Articulate Medical Intelligence Explorer),340.0,3598.0,1.8637,1,1.8424642930699426
Nemotron-4 340B,340.0,9000.0,1.8354,1,1.8133612028270307
PaLM 2,340.0,3600.0,1.8637,1,1.842444323274488
GLM-4.5,355.0,23100.0,1.8123,1,1.7894284850034847
GLM-4.6,357.0,23000.0,1.8123,1,1.7894192029855531
GLM-4.7,358.0,2057.7,1.884,1,1.8632338307539331
Hunyuan-Large,389.0,7000.0,1.8403,1,1.8181782248464635
Arcee Trinity Large,398.0,555.3,1.9471,1,1.9275551285187311
Llama 4 Maverick,400.0,30000.0,1.8051,1,1.7818725840905765
Hermes 3 405B,405.0,0.3,3.4691,1,3.455580784401852
Llama 3.1-405B,405.0,15600.0,1.8188,1,1.79598144284668
MiniMax-M1-80k,456.0,7500.0,1.8359,1,1.8133891442924444
MiniMax-M1-40k,456.0,7500.0,1.8359,1,1.8133891442924444
MiniMax-Text-01,456.0,7200.0,1.837,1,1.8145932203337631
Qwen3-Coder-480B-A35B,480.0,7500.0,1.8351,1,1.8125327644214213
Arctic,480.0,133.1,2.0479,1,2.029932092601005
Doubao-pro,500.0,8350.0,1.8315,1,1.808758917899981
Microsoft MAI-1 (2024 unreleased),500.0,5.3,2.5084,1,2.494801067465272
MegaScale (530B),530.0,300.0,1.9824,1,1.9631979828649129
MegaScale (Production),530.0,1226.4,1.9008,1,1.8798627359640168
Megatron-Turing NLG 530B,530.0,270.0,1.9899,1,1.970837726437641
U-PaLM (540B),540.0,1.3,2.8812,1,2.868476312858888
Flan-PaLM 540B,540.0,1.4,2.8576,1,2.844856964815989
Minerva (540B),540.4,26.0,2.2285,1,2.212712174313019
PaLM (540B),540.4,780.0,1.9234,1,1.9028872655348166
LongCat-Flash,560.0,23000.0,1.8055,1,1.7817839285164534
Hunyuan-TurboS,560.0,16000.0,1.8134,1,1.7899958078020244
SenseChat 5.0,600.0,1835.0,1.8811,1,1.85945721571284
GShard (600B),600.0,1000.0,1.909,1,1.8880765663497403
DeepSeek-V3.2-Exp,671.0,943.7,1.9105,1,1.8893778083489066
DeepSeek-V3.1-Terminus,671.0,839.0,1.9165,1,1.895598551165742
DeepSeek-V3.1,671.0,840.0,1.9165,1,1.895534519159135
DeepSeek-R1 (May 2025),671.0,14800.0,1.8128,1,1.78910565403533
DeepSeek-V3 (Mar 2025),671.0,14800.0,1.8128,1,1.78910565403533
DeepSeek-R1,671.0,14800.0,1.8128,1,1.78910565403533
DeepSeek-V3,671.0,14800.0,1.8128,1,1.78910565403533
Pangu Ultra MoE,718.0,717.0,1.9241,1,1.903239352946025
GLM-5,744.0,1532.3,1.886,1,1.8642630682512173
Kimi K2 Thinking,1000.0,700.0,1.9214,1,1.9000333863326544
Ling-1T,1000.0,20000.0,1.8011,1,1.7765332650509007
Qwen3-Max,1000.0,36000.0,1.7894,1,1.7644037339296237
Kimi K2,1000.0,15500.0,1.8068,1,1.7824382230740259
DLRM-2021,1000.0,0.1,4.0812,1,4.062100441304282
M6-T,1002.7,111.8,2.054,1,2.0350779646006045
Kimi K2.5,1040.0,929.5,1.9059,1,1.8841093036881325
PanGu-Σ,1085.0,329.0,1.967,1,1.9464481737218278
MoE-1.1T,1100.0,112.0,2.0528,1,2.033722798600569
GLaM,1200.0,600.0,1.9281,1,1.9066296668722795
QMoE: compressed SwitchTransformer,1571.0,576.0,1.9277,1,1.9058861583131546
Switch,1571.0,86.4,2.074,1,2.0547252599602195
Wu Dao 2.0,1750.0,4900.0,1.8325,1,1.8083145247102153
GPT-4 (Mar 2023),1800.0,5416.7,1.8291,1,1.8047478858090131
GPT-4 (Jun 2023),1800.0,5416.7,1.8291,1,1.8047478858090131
Llama 4 Behemoth (preview),2000.0,30000.0,1.7857,1,1.7598768030235872
Grok 4,3000.0,27777.8,1.7838,1,1.7574865308553176
Grok 3,3000.0,19444.4,1.7912,1,1.76514015991674
DLRM-2022,3000.0,0.1,4.0707,1,4.050074943759093
M6-10T,10000.0,0.1,4.0628,1,4.041016940169264
