scope,model,loss_domain,R2,Spearman,RMSE,MAE
1m,sqrt_krr,wikipedia_en,0.9824161311770278,0.9921177615014876,0.07245117086713052,0.05362730659777848
1m,sqrt_krr,dm_mathematics,0.8560700481233362,0.9080109864957654,0.5817405097846874,0.4821745677793994
1m,sqrt_krr,github,0.9364798777240738,0.9762960631723505,0.23219290876410734,0.17110028683398937
1m,sqrt_krr,stackexchange,0.9462184232889755,0.9795562485694663,0.15399783135985465,0.11978679992075864
1m,sqrt_krr,gutenberg_pg_19,0.9651351449355559,0.989532072556649,0.08377286213862872,0.06110134888490952
1m,sqrt_krr,pile_cc,0.979855538771874,0.9912665941863125,0.045488362438677404,0.034189761258198136
1m,sqrt_krr,ubuntu_irc,0.9162072828836099,0.9362096589608605,0.288721799123929,0.22390896323841084
1m,sqrt_krr,hackernews,0.9580100285139774,0.98232218471046,0.06891119046844588,0.053729927449672
1m,sqrt_krr,pubmed_abstracts,0.9696607488411855,0.9885879205767909,0.0993373489562577,0.07516148287281392
1m,sqrt_krr,uspto_backgrounds,0.9889877975721103,0.9923888475623711,0.05352779107437622,0.0404662797728796
60m,ridge,arxiv,-9.331827473062809,0.7561033703364612,1.8318458288711765,1.7648822755181355
60m,ridge,freelaw,-4.032069986800976,0.7629906729228655,1.4450196698809736,1.3798890292481474
60m,ridge,pubmed_central,-8.53706269591746,0.8490036335545891,1.7565542358695734,1.7103468395484105
60m,ridge,wikipedia_en,-6.5011523532383215,0.8802014190890363,1.3713289347425737,1.3422323282900712
60m,ridge,dm_mathematics,-3.13912297721758,0.748442149233234,1.5629928603181409,1.4206622610136204
60m,ridge,github,-13.746227228217624,0.8386387045090409,2.634939515139703,2.5827086248073705
60m,ridge,stackexchange,-9.071526965593034,0.81698686770428,1.7654868951613265,1.7205844101159347
60m,ridge,gutenberg_pg_19,-5.904565497085324,0.8928501945525291,1.011338488161445,0.9890173419187526
60m,ridge,pile_cc,-10.81618459622481,0.8927872510872052,1.0787711591925002,1.0674640219385645
60m,ridge,ubuntu_irc,-7.418427513250636,0.761096646829938,2.038603599669504,1.9659151331834601
60m,ridge,hackernews,-9.732346689441929,0.8380779354543373,1.0091248017909173,0.9932693817264335
60m,ridge,pubmed_abstracts,-5.316668855583174,0.9202062829022658,1.3748075249118739,1.3495877215874506
60m,ridge,uspto_backgrounds,-9.836288311742223,0.8284146829938199,1.422939250550639,1.3982415777172932
60m,sqrt_krr,arxiv,-7.670928729331147,0.960222590981918,1.6781591896670738,1.6417826860498856
60m,sqrt_krr,freelaw,-3.490858715998902,0.9901207370107574,1.3651020491789434,1.3582105680987298
60m,sqrt_krr,pubmed_central,-8.033404576048289,0.9645120450904094,1.7095427893796027,1.6778367651530492
60m,sqrt_krr,wikipedia_en,-6.4343571082249085,0.9908202677958341,1.3652096697439748,1.3623402241048448
60m,sqrt_krr,dm_mathematics,-2.8571744931460925,0.8958028152895396,1.5088201395158187,1.3052183433483613
60m,sqrt_krr,github,-12.03788756063652,0.9738384069581137,2.477614906345718,2.4526228561249015
60m,sqrt_krr,stackexchange,-7.724254380241041,0.9796678301670863,1.643164329061612,1.6321243337149935
60m,sqrt_krr,gutenberg_pg_19,-5.3389344232887,0.9857998111696039,0.9690283611264892,0.9633623355094808
60m,sqrt_krr,pile_cc,-10.744952168132812,0.9880335889219499,1.0755146236672453,1.0742541276183233
60m,sqrt_krr,ubuntu_irc,-7.042319496665247,0.9368662737468526,1.9925441793707606,1.9543370797829556
60m,sqrt_krr,hackernews,-9.184714742254071,0.9784468699931332,0.9830417624833862,0.979694365385255
60m,sqrt_krr,pubmed_abstracts,-5.165620407960313,0.9879706454566262,1.3582704024494814,1.3542350013771711
60m,sqrt_krr,uspto_backgrounds,-9.263077747044186,0.9884706168459599,1.3847931063489227,1.381033284471492
1B,ridge,arxiv,-935.2196574622095,0.8397435897435896,3.210219678206473,3.193953054771595
1B,ridge,freelaw,-591.4753330251767,0.7016483516483515,3.372353762271582,3.3663959110897435
1B,ridge,pubmed_central,-4171.016882624059,0.761492673992674,3.384723324440836,3.3660356524494186
1B,ridge,wikipedia_en,-436.4910280187493,0.788690476190476,3.3093569629822195,3.306433196853389
1B,ridge,dm_mathematics,-80.11269688661613,0.6766483516483516,2.677294820301826,2.6177900535175853
1B,ridge,github,-1371.8070721073584,0.6655219780219779,4.447327428478521,4.437445981768696
1B,ridge,stackexchange,-753.2152102898411,0.7255494505494505,3.548051939999798,3.543042666971939
1B,ridge,gutenberg_pg_19,-121.58790695163793,0.620650183150183,2.6792783607745827,2.6731283858922894
1B,ridge,pile_cc,-708.4507939304058,0.8810897435897433,2.683923280232087,2.6813872330506827
1B,ridge,ubuntu_irc,-93.97579631471596,0.6523809523809523,4.120584903902835,4.063084973051068
1B,ridge,hackernews,-138.09763798394658,0.5689102564102563,2.3220185986366326,2.3157725805672578
1B,ridge,pubmed_abstracts,-716.1882497516547,0.6384615384615384,3.0285899949492583,3.019362487384026
1B,ridge,uspto_backgrounds,-422.02710959528923,0.7428571428571429,2.8889470167000746,2.88586354243035
1B,sqrt_krr,arxiv,-561.1783041336956,0.696153846153846,2.4876135590214945,2.4758306091143867
1B,sqrt_krr,freelaw,-413.5561939788784,0.9904304029304027,2.820913007949897,2.814572622502813
1B,sqrt_krr,pubmed_central,-2438.990605402929,0.6775641025641026,2.588476477208264,2.585176656138801
1B,sqrt_krr,wikipedia_en,-361.7174318451841,0.9874999999999998,3.0133061167578363,3.011638923281378
1B,sqrt_krr,dm_mathematics,-61.25432351975122,0.9381868131868132,2.3455059351563143,2.075960557734231
1B,sqrt_krr,github,-937.7050525839524,0.9218864468864468,3.6775529018414335,3.671498720001937
1B,sqrt_krr,stackexchange,-553.424415533888,0.9396520146520145,3.042030045788329,3.0390015193090356
1B,sqrt_krr,gutenberg_pg_19,-105.20736322946922,0.9364010989010988,2.493855782254316,2.4926332144207906
1B,sqrt_krr,pile_cc,-605.0681193067353,0.9597069597069594,2.480673902129756,2.4803303769458935
1B,sqrt_krr,ubuntu_irc,-91.95886525224618,0.8633699633699633,4.076597203154817,4.055451398360546
1B,sqrt_krr,hackernews,-120.13558071545809,0.8233058608058607,2.1669140182661244,2.1645084402615318
1B,sqrt_krr,pubmed_abstracts,-617.9093574639669,0.9358058608058606,2.813438492338898,2.812010117464558
1B,sqrt_krr,uspto_backgrounds,-358.3641354124974,0.9876831501831501,2.662703708417421,2.658976453387717
